 BTBT.out                                                                                                                                                                                                
 UwB97XD                       
 CC-pVDZ                       

************************************************************
                Mode    Frequency (cm-1)              lambda
************************************************************
                   1       -2.0618006190        0.0252040964
                   2       -1.2008957223       -0.0852020256
                   3       -0.0265377530        0.0007363862
                   4        0.0109864304       -0.0006253418
                   5        0.0160694996       -0.0010329441
                   6        3.9991152166       -1.3114356530
                   7        8.6583562446        0.2724024381
                   8       11.7016200849        0.6764667731
                   9       26.3421847144        0.6529631275
                  10       33.7387108790       -0.4982466133
                  11       36.5602262205        0.4801772001
                  12       43.6283740831        2.1895072177
                  13       50.4486935018        1.8468771557
                  14       55.8118402304       -0.1317188042
                  15       78.6689586920        0.0196339200
                  16       90.9093324095        0.5395797635
                  17       96.7085610283        0.2508053694
                  18      105.8793535157        0.0465651768
                  19      116.7240831363       -0.6068970947
                  20      124.0264782907        0.0139002066
                  21      136.3725656406        0.0987665225
                  22      151.3076402289       -0.2672610300
                  23      155.7895697309       -0.0054213303
                  24      164.1317013052       -0.0021322853
                  25      189.3076996464       -0.1758122634
                  26      194.2888666050       -0.1262992963
                  27      198.6686450410       -0.3324911088
                  28      229.5396614733       -0.0822955613
                  29      243.2713351025        0.1925589925
                  30      251.8602047008       -0.0324107507
                  31      255.6444185715        0.0022709498
                  32      268.5487686317        0.0925624297
                  33      296.8562073462        0.1421578734
                  34      300.2514417057        0.0066279433
                  35      317.9402415106       -0.1890361635
                  36      342.6693301955        0.0532434851
                  37      373.3403829532        0.1462302437
                  38      381.3249056020        0.0812868993
                  39      414.5435789626       -0.0594955935
                  40      430.6644982166       -0.1119599791
                  41      435.5861663351       -0.1964569843
                  42      444.0091618534        0.2031860498
                  43      447.6055161690        0.1777058696
                  44      448.6586820542       -0.6332676288
                  45      460.6395931130       -0.1124171066
                  46      468.3580744006        0.2151986307
                  47      494.1640573801        0.1093402083
                  48      498.7386483799       -0.0176348579
                  49      525.4419588882       -0.1552060922
                  50      532.2221592291        0.7159600986
                  51      559.7287851592        0.1544209919
                  52      575.4474118635       -0.0976203395
                  53      591.1070092472        0.0227766398
                  54      618.0908792060       -0.1888498435
                  55      641.6682941224       -0.2007030629
                  56      653.1094988854        0.0125193190
                  57      670.2772419245       -0.1915861485
                  58      702.1540022011        0.6288501183
                  59      720.9757865754        0.7651566958
                  60      742.2919731091       -0.0050657504
                  61      743.9754114626        0.0138514004
                  62      750.3268241570       -0.1065692254
                  63      760.0143049747       -0.0450195306
                  64      768.0204792960        0.0251306670
                  65      770.2328903196        0.0690463631
                  66      782.4870189488        0.0321762009
                  67      803.8669840746        0.0621960633
                  68      818.9994882707       -0.0729940455
                  69      836.8044654364        0.0422833868
                  70      848.3195929407        0.1241731014
                  71      850.0303918981       -0.0789185941
                  72      855.8950556999       -0.4044725392
                  73      870.1162738524       -0.1166741674
                  74      871.4561192468        0.1248905445
                  75      896.0305874347        0.3231601489
                  76      908.9586197298        0.2167705448
                  77      912.8165209211       -0.0175471277
                  78      916.0648079725       -0.1015344654
                  79      953.2101815324       -0.0275860545
                  80      971.1909809316        0.0073133467
                  81      975.9460098431        0.0215872388
                  82      984.4698750947        0.0025119669
                  83      988.0086040536        0.0381825399
                  84      993.1618518953       -0.0239754995
                  85     1018.6171108140       -0.4869185697
                  86     1020.5040231734       -0.0075003701
                  87     1026.9941732923       -0.0841349804
                  88     1027.2026938121       -0.0973578921
                  89     1043.7659481826       -0.0782688876
                  90     1069.1242727553        0.2144237147
                  91     1073.9696539242        0.0074672799
                  92     1083.6133658715       -0.1076744540
                  93     1087.3364549174       -0.1192233551
                  94     1096.6569478274       -0.1237258330
                  95     1098.9957954492       -0.1545821382
                  96     1105.2446660393        0.1560467124
                  97     1110.1606376016        0.0581100732
                  98     1113.0342975524       -0.1093058843
                  99     1139.1763634657       -0.0269692706
                 100     1151.1912647891       -0.2347533498
                 101     1169.1116716199        0.1546473106
                 102     1172.9910668539       -0.0124218227
                 103     1173.9557555494        0.2480307153
                 104     1202.3556721633       -0.0224350673
                 105     1207.7579553627        0.0127454610
                 106     1210.9466552823        0.0841393376
                 107     1224.7493994926        0.1435133089
                 108     1236.5687002973        0.2880511416
                 109     1245.9000885374        0.0103175410
                 110     1268.6942932676        0.0477746266
                 111     1273.4295453771        0.0367104106
                 112     1282.6535418492        0.0531386654
                 113     1294.5789999882       -0.0026342184
                 114     1309.2269532294       -0.0268128214
                 115     1318.3643268108       -0.0382210966
                 116     1318.4581323169       -0.0845207375
                 117     1321.1026945591       -0.0287977679
                 118     1323.7822380397        0.0211062057
                 119     1329.5229404909        0.0556372793
                 120     1334.5361890101       -0.0062266979
                 121     1338.2882621778       -0.0033408923
                 122     1343.1753015111        0.1035182563
                 123     1360.9044001674        0.0081769318
                 124     1364.6386396545        0.0316749942
                 125     1365.0658392882        0.0560393408
                 126     1379.6399043998        0.0223009534
                 127     1385.4539047138       -0.1679697191
                 128     1394.5694162789       -0.0431739166
                 129     1409.8164162250        0.0070977544
                 130     1419.6583533686       -0.0167224413
                 131     1427.8050988022       -0.0005882557
                 132     1434.5057558148        0.0841503554
                 133     1453.5453271717       -0.0458242772
                 134     1467.9632162583       -0.0104978578
                 135     1468.5632892638        0.0047022211
                 136     1469.2007487076       -0.0017536881
                 137     1471.8798101962        0.0034270534
                 138     1472.3778715053        0.0099115049
                 139     1473.7579963546        0.0060957480
                 140     1477.5668588069        0.0173803469
                 141     1477.5865635972        0.0194633135
                 142     1479.8259583278       -0.0171364361
                 143     1484.4126356242       -0.0110738389
                 144     1489.7870682035       -0.0037850451
                 145     1490.6790039268       -0.0089534027
                 146     1493.0335402819        0.0084547053
                 147     1519.7044900620       -0.0319562275
                 148     1532.8991329236       -0.0652297147
                 149     1557.0122307629       -0.3172900085
                 150     1576.7201156147       -0.0944429810
                 151     1630.4867984546        0.1453498624
                 152     1638.1374411963        0.2204683233
                 153     1657.9149618682       -0.0501044590
                 154     1689.1268034065       -0.4216325483
                 155     1692.6239872358       -0.0569917873
                 156     1704.1711404746        0.1475449032
                 157     3018.6511754028       -0.0922592774
                 158     3020.0914523880       -0.0550426373
                 159     3021.8055916263       -0.0282049181
                 160     3022.7019421876       -0.2395041095
                 161     3027.8676977352       -0.0102304750
                 162     3035.1095977720        0.1829711832
                 163     3035.8856996392       -0.0058685735
                 164     3043.3238894631       -0.1471725933
                 165     3046.9206037601       -0.0821447119
                 166     3050.6646782897       -0.0313522651
                 167     3055.0958639051        0.0064022134
                 168     3064.0944688063        0.0155620017
                 169     3074.8428009371        0.0074892738
                 170     3082.7108634773        0.0156038110
                 171     3089.7982478887       -0.0029396280
                 172     3095.2563445554       -0.0096792517
                 173     3103.0611000644       -0.0089319110
                 174     3124.8703238103        0.0038603818
                 175     3135.2569215459        0.0495421798
                 176     3172.2437823801        0.0141678164
                 177     3196.2548580494        0.0186934588
                 178     3201.7153826192        0.1844722390
                 179     3204.2483562253        0.0518841595
                 180     3206.3940286964       -0.0078276946
                 181     3207.5292180713        0.0111960164
                 182     3213.2572758328        0.1887228738
                 183     3216.8227856376       -0.2739727216
                 184     3222.4932973723       -0.2670334126
                 185     3230.5054306900        0.0776116258
                 186     3240.9481285800       -0.0770211008
************************************************************
Effective HR range (cm-1):    1000.0    1800.0
Effective HR Factor:       1.13
Effective HR Frequency:    1306.16

************************************************************
                Mode    Frequency (cm-1)             lambda-
************************************************************
                   1       -2.0618006190        0.0525232811
                   2       -1.2008957223       -0.0672543292
                   3       -0.0265377530        0.0002223990
                   4        0.0109864304       -0.0003058144
                   5        0.0160694996       -0.0007194735
                   6        3.9991152166       -1.1045848448
                   7        8.6583562446        0.3999920271
                   8       11.7016200849        1.0964787628
                   9       26.3421847144        0.3528781379
                  10       33.7387108790       -0.2958248326
                  11       36.5602262205        0.5982554186
                  12       43.6283740831        1.5979821333
                  13       50.4486935018        1.2056180960
                  14       55.8118402304       -0.0327774813
                  15       78.6689586920        0.2332788977
                  16       90.9093324095        0.5917676681
                  17       96.7085610283        0.2344625007
                  18      105.8793535157       -0.1089648928
                  19      116.7240831363       -0.1203246259
                  20      124.0264782907        0.0061634273
                  21      136.3725656406       -0.4162787977
                  22      151.3076402289        0.3128614639
                  23      155.7895697309        0.0389876001
                  24      164.1317013052       -0.0601112233
                  25      189.3076996464        0.1762489794
                  26      194.2888666050       -0.1179922483
                  27      198.6686450410       -0.2695719450
                  28      229.5396614733        0.1130967500
                  29      243.2713351025        0.0873455917
                  30      251.8602047008        0.1732853848
                  31      255.6444185715        0.0164333564
                  32      268.5487686317       -0.0154201374
                  33      296.8562073462       -0.0035733131
                  34      300.2514417057        0.0864138802
                  35      317.9402415106       -0.2057083221
                  36      342.6693301955        0.1231952372
                  37      373.3403829532        0.1638203655
                  38      381.3249056020       -0.0005471480
                  39      414.5435789626       -0.0928743032
                  40      430.6644982166       -0.0064188540
                  41      435.5861663351       -0.2075851021
                  42      444.0091618534        0.1583989229
                  43      447.6055161690        0.1352134325
                  44      448.6586820542       -0.4239729615
                  45      460.6395931130       -0.0949331182
                  46      468.3580744006        0.3338186295
                  47      494.1640573801        0.1302624876
                  48      498.7386483799       -0.0216802089
                  49      525.4419588882       -0.1760019319
                  50      532.2221592291        0.8857533703
                  51      559.7287851592        0.1753609971
                  52      575.4474118635       -0.1347781069
                  53      591.1070092472       -0.0450513064
                  54      618.0908792060       -0.1258757757
                  55      641.6682941224       -0.1826747464
                  56      653.1094988854       -0.0260370487
                  57      670.2772419245       -0.1415830344
                  58      702.1540022011        0.6945179202
                  59      720.9757865754        0.8244078220
                  60      742.2919731091       -0.0056973631
                  61      743.9754114626        0.0112117746
                  62      750.3268241570       -0.1399523731
                  63      760.0143049747       -0.0405907044
                  64      768.0204792960        0.0126955907
                  65      770.2328903196        0.0673495791
                  66      782.4870189488        0.0939910133
                  67      803.8669840746        0.0603114661
                  68      818.9994882707        0.0749587133
                  69      836.8044654364        0.0108716706
                  70      848.3195929407        0.0696715878
                  71      850.0303918981       -0.0431555236
                  72      855.8950556999       -0.2310903286
                  73      870.1162738524       -0.0653587481
                  74      871.4561192468        0.1193613532
                  75      896.0305874347        0.2986914929
                  76      908.9586197298        0.1846166173
                  77      912.8165209211       -0.0254881574
                  78      916.0648079725       -0.1304879445
                  79      953.2101815324       -0.0230760572
                  80      971.1909809316        0.0102324919
                  81      975.9460098431        0.0308069670
                  82      984.4698750947        0.0019428342
                  83      988.0086040536        0.0327358420
                  84      993.1618518953       -0.0232482781
                  85     1018.6171108140       -0.5752578725
                  86     1020.5040231734       -0.0099109294
                  87     1026.9941732923       -0.1534374429
                  88     1027.2026938121       -0.1672788613
                  89     1043.7659481826       -0.0549681446
                  90     1069.1242727553        0.2997885779
                  91     1073.9696539242        0.0474058155
                  92     1083.6133658715       -0.0711907669
                  93     1087.3364549174       -0.1078829994
                  94     1096.6569478274       -0.0557193512
                  95     1098.9957954492       -0.0651062391
                  96     1105.2446660393        0.1728766232
                  97     1110.1606376016        0.0630551310
                  98     1113.0342975524       -0.1236577452
                  99     1139.1763634657       -0.0154978447
                 100     1151.1912647891       -0.1387443789
                 101     1169.1116716199        0.1534557385
                 102     1172.9910668539       -0.0020030369
                 103     1173.9557555494        0.3119476380
                 104     1202.3556721633       -0.0563349345
                 105     1207.7579553627        0.0167539931
                 106     1210.9466552823        0.0425955917
                 107     1224.7493994926        0.1210650711
                 108     1236.5687002973        0.2926000123
                 109     1245.9000885374        0.0163878720
                 110     1268.6942932676        0.0461359699
                 111     1273.4295453771        0.0270740651
                 112     1282.6535418492        0.0632293532
                 113     1294.5789999882       -0.0157106415
                 114     1309.2269532294        0.0276412070
                 115     1318.3643268108       -0.0173800003
                 116     1318.4581323169       -0.0899431592
                 117     1321.1026945591       -0.0152599862
                 118     1323.7822380397        0.0211403144
                 119     1329.5229404909        0.1242725929
                 120     1334.5361890101       -0.0081938417
                 121     1338.2882621778       -0.0080816608
                 122     1343.1753015111        0.1102660568
                 123     1360.9044001674        0.0990514152
                 124     1364.6386396545        0.0012150736
                 125     1365.0658392882       -0.0219934615
                 126     1379.6399043998        0.0714993773
                 127     1385.4539047138       -0.3059141193
                 128     1394.5694162789       -0.0758020097
                 129     1409.8164162250       -0.0134811179
                 130     1419.6583533686       -0.0203944320
                 131     1427.8050988022       -0.0074212244
                 132     1434.5057558148       -0.0262307804
                 133     1453.5453271717       -0.0153440727
                 134     1467.9632162583       -0.0158080300
                 135     1468.5632892638        0.0241050121
                 136     1469.2007487076       -0.0022512964
                 137     1471.8798101962        0.0233732444
                 138     1472.3778715053       -0.0444063534
                 139     1473.7579963546        0.0059934397
                 140     1477.5668588069       -0.0018823472
